UTMx512,UTMy361,Z,Longitude,Latitude,Elevation
4124.276,-6885.544,833.073,-121.306,45.010,833.073
4151.246,-6885.433,837.541,-121.304,45.010,837.541
4178.383,-6885.319,841.623,-121.301,45.010,841.623
4205.521,-6885.206,844.179,-121.299,45.010,844.179
4232.490,-6885.092,846.200,-121.297,45.010,846.200
4259.628,-6884.977,842.814,-121.295,45.010,842.814
4286.598,-6884.861,832.937,-121.293,45.010,832.937
4313.567,-6884.745,825.928,-121.290,45.010,825.928
4340.705,-6884.628,826.604,-121.288,45.010,826.604
4367.674,-6884.510,831.233,-121.286,45.010,831.233
4394.812,-6884.392,833.412,-121.284,45.010,833.412
4421.781,-6884.272,836.384,-121.282,45.010,836.384
4448.919,-6884.152,839.334,-121.279,45.010,839.334
4475.888,-6884.031,842.036,-121.277,45.010,842.036
4502.857,-6883.910,843.694,-121.275,45.010,843.694
4529.996,-6883.788,846.813,-121.273,45.010,846.813
4557.134,-6883.665,860.549,-121.271,45.010,860.549
4584.103,-6883.541,866.727,-121.268,45.010,866.727
4611.072,-6883.417,867.183,-121.266,45.010,867.183
4638.041,-6883.292,873.144,-121.264,45.010,873.144
4665.179,-6883.167,886.463,-121.262,45.010,886.463
4692.317,-6883.039,903.406,-121.260,45.010,903.406
4719.286,-6882.912,917.768,-121.258,45.010,917.768
4746.424,-6882.784,932.930,-121.255,45.010,932.930
4773.393,-6882.655,951.983,-121.253,45.010,951.983
4800.362,-6882.526,969.575,-121.251,45.010,969.575
4827.501,-6882.396,982.127,-121.249,45.010,982.127
4854.470,-6882.265,992.852,-121.247,45.010,992.852
4881.607,-6882.132,994.511,-121.244,45.010,994.511
4908.577,-6882.000,988.956,-121.242,45.010,988.956
4935.714,-6881.867,984.323,-121.240,45.010,984.323
4962.684,-6881.733,980.412,-121.238,45.010,980.412
4989.822,-6881.598,973.379,-121.236,45.010,973.379
5016.791,-6881.463,962.691,-121.233,45.010,962.691
5043.929,-6881.327,960.694,-121.231,45.010,960.694
5070.898,-6881.190,975.403,-121.229,45.010,975.403
5097.868,-6881.053,974.821,-121.227,45.010,974.821
5125.005,-6880.915,958.997,-121.225,45.010,958.997
5151.975,-6880.776,948.590,-121.222,45.010,948.590
5179.112,-6880.635,943.957,-121.220,45.010,943.957
5206.082,-6880.496,936.790,-121.218,45.010,936.790
5233.220,-6880.354,935.726,-121.216,45.010,935.726
5260.188,-6880.212,972.286,-121.214,45.010,972.286
5287.158,-6880.070,974.884,-121.212,45.010,974.884
5314.295,-6879.926,914.415,-121.209,45.010,914.415
5341.434,-6879.781,845.541,-121.207,45.010,845.541
5368.403,-6879.637,799.453,-121.205,45.010,799.453
5395.372,-6879.492,764.770,-121.203,45.010,764.770
5422.510,-6879.345,739.233,-121.201,45.010,739.233
5449.479,-6879.198,722.322,-121.198,45.010,722.322
5476.617,-6879.050,690.238,-121.196,45.010,690.238
5503.586,-6878.902,678.488,-121.194,45.010,678.488
5530.724,-6878.752,665.340,-121.192,45.010,665.340
5557.693,-6878.603,646.964,-121.190,45.010,646.964
5584.663,-6878.452,639.512,-121.187,45.010,639.512
5611.801,-6878.300,636.023,-121.185,45.010,636.023
5638.770,-6878.148,632.760,-121.183,45.010,632.760
5665.908,-6877.995,621.375,-121.181,45.010,621.375
5692.877,-6877.842,615.600,-121.179,45.010,615.600
5720.015,-6877.687,598.727,-121.176,45.010,598.727
5746.984,-6877.532,570.434,-121.174,45.010,570.434
5773.954,-6877.376,554.493,-121.172,45.010,554.493
5801.091,-6877.220,554.431,-121.170,45.010,554.431
5828.229,-6877.062,558.318,-121.168,45.010,558.318
5855.198,-6876.904,526.818,-121.165,45.010,526.818
5882.167,-6876.746,495.638,-121.163,45.010,495.638
5909.306,-6876.586,520.598,-121.161,45.010,520.598
5936.275,-6876.426,581.738,-121.159,45.010,581.738
